Vardas         Pavarde                 Galutinis (Vid.)    Galutinis (Med.)
Vardas5321     Pavarde5321                         3.24                3.20
Vardas5324     Pavarde5324                         4.72                4.80
Vardas5327     Pavarde5327                         2.84                2.80
Vardas5328     Pavarde5328                         4.72                5.20
Vardas5329     Pavarde5329                         4.20                4.60
Vardas5330     Pavarde5330                         2.24                2.00
Vardas5331     Pavarde5331                         2.64                2.60
Vardas5332     Pavarde5332                         3.64                3.40
Vardas5333     Pavarde5333                         3.20                3.20
Vardas5342     Pavarde5342                         4.24                4.40
Vardas5343     Pavarde5343                         3.28                3.40
Vardas5348     Pavarde5348                         3.76                3.60
Vardas5351     Pavarde5351                         4.72                4.80
Vardas5353     Pavarde5353                         4.56                4.60
Vardas5359     Pavarde5359                         4.80                4.60
Vardas5361     Pavarde5361                         3.36                3.40
Vardas5363     Pavarde5363                         3.64                4.20
Vardas5364     Pavarde5364                         4.64                4.20
Vardas5365     Pavarde5365                         4.20                4.20
Vardas5367     Pavarde5367                         3.96                3.80
Vardas5369     Pavarde5369                         4.56                4.80
Vardas5373     Pavarde5373                         3.60                3.40
Vardas5380     Pavarde5380                         2.60                2.20
Vardas5381     Pavarde5381                         4.84                5.00
Vardas5383     Pavarde5383                         2.76                3.00
Vardas5386     Pavarde5386                         4.92                4.60
Vardas5387     Pavarde5387                         3.40                3.80
Vardas5389     Pavarde5389                         2.28                2.20
Vardas5394     Pavarde5394                         4.80                4.80
Vardas5396     Pavarde5396                         4.08                3.80
Vardas5397     Pavarde5397                         3.60                3.60
Vardas5398     Pavarde5398                         4.00                4.00
Vardas5405     Pavarde5405                         2.64                2.40
Vardas5408     Pavarde5408                         4.04                3.60
Vardas5409     Pavarde5409                         4.68                5.00
Vardas5410     Pavarde5410                         4.60                4.80
Vardas5411     Pavarde5411                         4.28                4.20
Vardas5416     Pavarde5416                         2.52                2.60
Vardas5420     Pavarde5420                         4.24                4.60
Vardas5423     Pavarde5423                         4.68                4.60
Vardas5427     Pavarde5427                         4.12                4.00
Vardas5429     Pavarde5429                         3.76                3.80
Vardas5430     Pavarde5430                         3.08                2.80
Vardas5431     Pavarde5431                         4.32                4.20
Vardas5433     Pavarde5433                         3.40                3.20
Vardas5434     Pavarde5434                         2.84                3.40
Vardas5435     Pavarde5435                         3.28                3.60
Vardas5439     Pavarde5439                         4.92                4.80
Vardas5440     Pavarde5440                         4.04                4.20
Vardas5442     Pavarde5442                         3.96                3.80
Vardas5443     Pavarde5443                         3.96                4.00
Vardas5445     Pavarde5445                         2.96                2.80
Vardas5452     Pavarde5452                         3.72                3.40
Vardas5453     Pavarde5453                         2.88                3.00
Vardas5454     Pavarde5454                         3.08                3.40
Vardas5456     Pavarde5456                         4.36                4.00
Vardas5458     Pavarde5458                         4.76                5.00
Vardas5459     Pavarde5459                         4.24                4.20
Vardas5460     Pavarde5460                         2.72                2.80
Vardas5463     Pavarde5463                         3.12                2.80
Vardas5465     Pavarde5465                         4.80                4.60
Vardas5469     Pavarde5469                         2.92                3.20
Vardas5471     Pavarde5471                         2.96                2.60
Vardas5473     Pavarde5473                         4.64                4.60
Vardas5474     Pavarde5474                         3.24                3.40
Vardas5475     Pavarde5475                         3.72                4.20
Vardas5480     Pavarde5480                         2.40                2.60
Vardas5481     Pavarde5481                         4.32                4.60
Vardas5483     Pavarde5483                         4.60                5.20
Vardas5484     Pavarde5484                         4.56                4.40
Vardas5487     Pavarde5487                         3.12                3.20
Vardas5488     Pavarde5488                         2.28                2.40
Vardas5490     Pavarde5490                         4.60                4.40
Vardas5491     Pavarde5491                         3.28                3.40
Vardas5496     Pavarde5496                         3.40                3.60
Vardas5500     Pavarde5500                         4.32                4.40
Vardas5502     Pavarde5502                         3.96                3.60
Vardas5504     Pavarde5504                         3.40                3.40
Vardas5506     Pavarde5506                         4.36                4.40
Vardas5507     Pavarde5507                         4.32                4.00
Vardas5509     Pavarde5509                         3.64                3.40
Vardas5510     Pavarde5510                         3.84                4.20
Vardas5516     Pavarde5516                         4.96                5.20
Vardas5518     Pavarde5518                         4.04                4.00
Vardas5519     Pavarde5519                         4.60                4.60
Vardas5520     Pavarde5520                         3.68                3.80
Vardas5522     Pavarde5522                         4.64                4.80
Vardas5525     Pavarde5525                         3.72                3.40
Vardas5526     Pavarde5526                         2.80                3.00
Vardas5527     Pavarde5527                         4.12                3.80
Vardas5528     Pavarde5528                         2.52                2.60
Vardas5529     Pavarde5529                         4.24                3.80
Vardas5533     Pavarde5533                         3.64                3.80
Vardas5536     Pavarde5536                         3.44                3.60
Vardas5538     Pavarde5538                         2.96                2.80
Vardas5539     Pavarde5539                         3.84                4.00
Vardas5541     Pavarde5541                         4.08                4.20
Vardas5546     Pavarde5546                         3.32                3.20
Vardas5549     Pavarde5549                         2.40                2.20
Vardas5551     Pavarde5551                         4.40                4.40
Vardas5556     Pavarde5556                         4.24                4.20
Vardas5558     Pavarde5558                         3.52                3.60
Vardas5560     Pavarde5560                         3.80                3.80
Vardas5562     Pavarde5562                         3.32                3.40
Vardas5563     Pavarde5563                         4.68                4.80
Vardas5564     Pavarde5564                         4.08                4.20
Vardas5566     Pavarde5566                         2.52                2.00
Vardas5567     Pavarde5567                         2.80                2.80
Vardas5568     Pavarde5568                         4.96                5.00
Vardas5569     Pavarde5569                         4.96                5.20
Vardas5572     Pavarde5572                         3.88                4.00
Vardas5573     Pavarde5573                         4.80                4.80
Vardas5574     Pavarde5574                         4.68                4.80
Vardas5575     Pavarde5575                         4.00                4.20
Vardas5576     Pavarde5576                         3.48                3.60
Vardas5579     Pavarde5579                         4.52                4.20
Vardas5580     Pavarde5580                         4.16                4.20
Vardas5581     Pavarde5581                         3.80                3.80
Vardas5582     Pavarde5582                         4.56                4.20
Vardas5583     Pavarde5583                         3.96                4.20
Vardas5586     Pavarde5586                         4.60                5.20
Vardas5587     Pavarde5587                         4.28                3.80
Vardas5589     Pavarde5589                         4.36                4.20
Vardas5591     Pavarde5591                         2.84                2.60
Vardas5594     Pavarde5594                         4.36                4.40
Vardas5595     Pavarde5595                         2.72                3.00
Vardas5597     Pavarde5597                         2.72                2.60
Vardas5598     Pavarde5598                         3.12                3.00
Vardas5600     Pavarde5600                         4.08                3.80
Vardas5603     Pavarde5603                         2.96                2.60
Vardas5606     Pavarde5606                         3.16                3.40
Vardas5607     Pavarde5607                         3.60                3.00
Vardas5608     Pavarde5608                         2.16                1.40
Vardas5614     Pavarde5614                         3.40                4.00
Vardas5617     Pavarde5617                         3.68                4.00
Vardas5618     Pavarde5618                         3.12                3.00
Vardas5621     Pavarde5621                         4.36                4.20
Vardas5624     Pavarde5624                         3.32                3.40
Vardas5630     Pavarde5630                         3.48                3.20
Vardas5634     Pavarde5634                         3.96                3.20
Vardas5637     Pavarde5637                         2.96                3.00
Vardas5639     Pavarde5639                         3.96                3.60
Vardas5641     Pavarde5641                         3.20                3.40
Vardas5642     Pavarde5642                         4.04                3.60
Vardas5644     Pavarde5644                         3.56                3.80
Vardas5646     Pavarde5646                         3.32                3.40
Vardas5647     Pavarde5647                         2.40                2.40
Vardas5650     Pavarde5650                         4.80                4.80
Vardas5652     Pavarde5652                         4.80                4.80
Vardas5653     Pavarde5653                         4.24                4.60
Vardas5660     Pavarde5660                         4.76                4.40
Vardas5661     Pavarde5661                         4.52                4.20
Vardas5663     Pavarde5663                         4.20                4.40
Vardas5664     Pavarde5664                         4.04                4.20
Vardas5665     Pavarde5665                         4.00                4.00
Vardas5670     Pavarde5670                         3.68                3.60
Vardas5671     Pavarde5671                         3.80                4.20
Vardas5672     Pavarde5672                         3.76                3.40
Vardas5673     Pavarde5673                         3.92                4.20
Vardas5674     Pavarde5674                         3.84                3.80
Vardas5676     Pavarde5676                         3.24                3.00
Vardas5677     Pavarde5677                         4.80                5.00
Vardas5683     Pavarde5683                         3.40                3.20
Vardas5684     Pavarde5684                         4.80                5.00
Vardas5687     Pavarde5687                         4.36                4.20
Vardas5691     Pavarde5691                         2.80                3.00
Vardas5693     Pavarde5693                         3.92                4.20
Vardas5696     Pavarde5696                         3.84                4.00
Vardas5697     Pavarde5697                         4.16                4.00
Vardas5698     Pavarde5698                         4.72                5.00
Vardas5702     Pavarde5702                         4.00                4.00
Vardas5707     Pavarde5707                         3.64                3.40
Vardas5710     Pavarde5710                         2.40                2.00
Vardas5713     Pavarde5713                         4.60                4.60
Vardas5714     Pavarde5714                         3.60                3.80
Vardas5717     Pavarde5717                         2.80                2.40
Vardas5721     Pavarde5721                         4.12                4.20
Vardas5723     Pavarde5723                         4.88                5.20
Vardas5724     Pavarde5724                         4.32                4.80
Vardas5725     Pavarde5725                         4.24                4.40
Vardas5726     Pavarde5726                         3.32                3.20
Vardas5727     Pavarde5727                         4.24                4.20
Vardas5733     Pavarde5733                         4.48                4.40
Vardas5734     Pavarde5734                         4.80                4.80
Vardas5737     Pavarde5737                         4.44                4.40
Vardas5740     Pavarde5740                         4.32                4.20
Vardas5741     Pavarde5741                         3.92                3.80
Vardas5743     Pavarde5743                         3.00                3.40
Vardas5749     Pavarde5749                         3.00                2.60
Vardas5750     Pavarde5750                         4.44                4.40
Vardas5752     Pavarde5752                         4.32                4.00
Vardas5754     Pavarde5754                         4.52                4.20
Vardas5755     Pavarde5755                         3.52                3.60
Vardas5757     Pavarde5757                         3.68                3.80
Vardas5758     Pavarde5758                         2.76                2.40
Vardas5759     Pavarde5759                         3.08                3.20
Vardas5760     Pavarde5760                         2.60                2.40
Vardas5762     Pavarde5762                         3.32                3.20
Vardas5767     Pavarde5767                         3.40                3.40
Vardas5768     Pavarde5768                         3.24                3.20
Vardas5769     Pavarde5769                         3.12                2.80
Vardas5770     Pavarde5770                         4.24                4.00
Vardas5772     Pavarde5772                         3.84                3.40
Vardas5783     Pavarde5783                         3.56                3.40
Vardas5786     Pavarde5786                         4.56                4.60
Vardas5788     Pavarde5788                         3.84                3.80
Vardas5790     Pavarde5790                         3.52                3.60
Vardas5791     Pavarde5791                         4.24                4.40
Vardas5792     Pavarde5792                         3.88                3.80
Vardas5799     Pavarde5799                         4.88                5.60
Vardas5801     Pavarde5801                         2.80                2.80
Vardas5805     Pavarde5805                         3.56                4.00
Vardas5806     Pavarde5806                         4.44                4.40
Vardas5808     Pavarde5808                         4.16                4.40
Vardas5812     Pavarde5812                         4.28                4.80
Vardas5814     Pavarde5814                         3.40                3.20
Vardas5819     Pavarde5819                         4.24                3.80
Vardas5820     Pavarde5820                         2.84                2.60
Vardas5823     Pavarde5823                         4.28                3.80
Vardas5826     Pavarde5826                         4.56                4.40
Vardas5828     Pavarde5828                         3.08                3.20
Vardas5829     Pavarde5829                         4.84                5.00
Vardas5831     Pavarde5831                         4.16                4.00
Vardas5832     Pavarde5832                         4.72                5.00
Vardas5834     Pavarde5834                         3.56                3.80
Vardas5837     Pavarde5837                         3.08                3.40
Vardas5839     Pavarde5839                         3.72                3.80
Vardas5840     Pavarde5840                         4.16                4.20
Vardas5855     Pavarde5855                         3.00                2.60
Vardas5856     Pavarde5856                         4.00                3.60
Vardas5858     Pavarde5858                         2.56                2.40
Vardas5861     Pavarde5861                         3.16                3.40
Vardas5862     Pavarde5862                         4.68                4.80
Vardas5865     Pavarde5865                         4.36                4.80
Vardas5867     Pavarde5867                         4.36                4.40
Vardas5869     Pavarde5869                         3.92                3.80
Vardas5870     Pavarde5870                         4.24                4.60
Vardas5871     Pavarde5871                         4.24                4.00
Vardas5873     Pavarde5873                         4.72                4.40
Vardas5874     Pavarde5874                         3.44                3.60
Vardas5877     Pavarde5877                         4.80                4.80
Vardas5878     Pavarde5878                         3.72                3.60
Vardas5881     Pavarde5881                         4.48                4.60
Vardas5882     Pavarde5882                         2.92                3.00
Vardas5885     Pavarde5885                         3.04                3.00
Vardas5886     Pavarde5886                         3.52                3.20
Vardas5888     Pavarde5888                         4.44                4.40
Vardas5893     Pavarde5893                         3.00                3.40
Vardas5894     Pavarde5894                         2.96                3.00
Vardas5897     Pavarde5897                         3.84                3.80
Vardas5900     Pavarde5900                         2.56                2.80
Vardas5903     Pavarde5903                         4.36                4.20
Vardas5905     Pavarde5905                         3.48                3.40
Vardas5907     Pavarde5907                         2.88                2.80
Vardas5908     Pavarde5908                         3.76                4.00
Vardas5913     Pavarde5913                         3.20                3.20
Vardas5914     Pavarde5914                         3.20                3.20
Vardas5915     Pavarde5915                         4.00                3.60
Vardas5917     Pavarde5917                         4.64                4.40
Vardas5918     Pavarde5918                         4.92                4.80
Vardas5920     Pavarde5920                         3.88                4.00
Vardas5922     Pavarde5922                         3.24                3.80
Vardas5923     Pavarde5923                         4.76                4.40
Vardas5925     Pavarde5925                         4.04                4.20
Vardas5928     Pavarde5928                         4.12                4.00
Vardas5929     Pavarde5929                         3.20                2.80
Vardas5931     Pavarde5931                         4.04                4.40
Vardas5939     Pavarde5939                         4.64                4.40
Vardas5941     Pavarde5941                         4.36                4.40
Vardas5943     Pavarde5943                         4.20                4.40
Vardas5945     Pavarde5945                         3.76                3.80
Vardas5946     Pavarde5946                         2.52                2.40
Vardas5947     Pavarde5947                         4.64                4.60
Vardas5957     Pavarde5957                         3.84                4.00
Vardas5958     Pavarde5958                         3.00                3.60
Vardas5961     Pavarde5961                         2.64                2.20
Vardas5963     Pavarde5963                         2.68                2.40
Vardas5964     Pavarde5964                         3.60                3.40
Vardas5966     Pavarde5966                         3.52                3.40
Vardas5967     Pavarde5967                         3.40                3.60
Vardas5978     Pavarde5978                         3.28                3.60
Vardas5981     Pavarde5981                         2.96                3.00
Vardas5987     Pavarde5987                         3.84                3.80
Vardas5988     Pavarde5988                         3.88                4.40
Vardas5992     Pavarde5992                         4.64                5.00
Vardas5994     Pavarde5994                         3.88                3.80
Vardas5996     Pavarde5996                         4.20                4.00
Vardas5998     Pavarde5998                         4.12                4.00
Vardas6005     Pavarde6005                         2.96                3.00
Vardas6006     Pavarde6006                         4.52                4.40
Vardas6008     Pavarde6008                         3.92                4.00
Vardas6009     Pavarde6009                         3.68                3.60
Vardas6013     Pavarde6013                         2.60                2.60
Vardas6014     Pavarde6014                         4.72                4.60
Vardas6015     Pavarde6015                         4.00                4.20
Vardas6019     Pavarde6019                         4.32                4.00
Vardas6025     Pavarde6025                         3.64                3.40
Vardas6028     Pavarde6028                         3.04                2.80
Vardas6029     Pavarde6029                         4.36                4.20
Vardas6031     Pavarde6031                         3.04                2.60
Vardas6035     Pavarde6035                         4.20                4.00
Vardas6038     Pavarde6038                         4.60                4.60
Vardas6039     Pavarde6039                         4.56                4.40
Vardas6042     Pavarde6042                         2.96                2.80
Vardas6044     Pavarde6044                         3.12                3.00
Vardas6045     Pavarde6045                         3.76                3.20
Vardas6046     Pavarde6046                         3.20                3.00
Vardas6047     Pavarde6047                         4.60                4.80
Vardas6049     Pavarde6049                         3.16                3.00
Vardas6051     Pavarde6051                         4.28                3.80
Vardas6058     Pavarde6058                         3.20                3.00
Vardas6059     Pavarde6059                         4.92                4.80
Vardas6061     Pavarde6061                         4.68                4.60
Vardas6064     Pavarde6064                         4.32                4.20
Vardas6066     Pavarde6066                         2.56                2.60
Vardas6068     Pavarde6068                         2.20                2.00
Vardas6069     Pavarde6069                         3.04                3.40
Vardas6071     Pavarde6071                         3.80                3.60
Vardas6072     Pavarde6072                         3.84                4.00
Vardas6075     Pavarde6075                         4.92                5.60
Vardas6077     Pavarde6077                         4.84                4.80
Vardas6078     Pavarde6078                         3.92                3.60
Vardas6079     Pavarde6079                         4.80                5.00
Vardas6082     Pavarde6082                         4.08                4.00
Vardas6083     Pavarde6083                         3.20                3.40
Vardas6086     Pavarde6086                         4.56                4.40
Vardas6091     Pavarde6091                         3.92                3.60
Vardas6092     Pavarde6092                         3.24                3.00
Vardas6093     Pavarde6093                         4.36                4.80
Vardas6094     Pavarde6094                         4.52                5.00
Vardas6095     Pavarde6095                         4.92                5.00
Vardas6097     Pavarde6097                         2.56                2.40
Vardas6099     Pavarde6099                         4.84                4.80
Vardas6101     Pavarde6101                         3.40                3.40
Vardas6102     Pavarde6102                         3.32                3.20
Vardas6105     Pavarde6105                         3.56                3.40
Vardas6116     Pavarde6116                         4.40                4.60
Vardas6118     Pavarde6118                         4.16                4.00
Vardas6119     Pavarde6119                         3.20                3.40
Vardas6121     Pavarde6121                         3.56                3.60
Vardas6126     Pavarde6126                         3.68                3.80
Vardas6129     Pavarde6129                         3.16                2.60
Vardas6137     Pavarde6137                         3.16                3.20
Vardas6139     Pavarde6139                         4.60                4.00
Vardas6141     Pavarde6141                         3.68                3.60
Vardas6151     Pavarde6151                         3.72                4.20
Vardas6152     Pavarde6152                         4.56                4.80
Vardas6156     Pavarde6156                         3.60                4.20
Vardas6159     Pavarde6159                         3.12                2.80
Vardas6160     Pavarde6160                         2.96                2.60
Vardas6161     Pavarde6161                         4.32                4.60
Vardas6162     Pavarde6162                         4.40                4.60
Vardas6163     Pavarde6163                         2.52                2.20
Vardas6164     Pavarde6164                         4.72                4.40
Vardas6165     Pavarde6165                         3.68                3.60
Vardas6166     Pavarde6166                         3.12                3.20
Vardas6169     Pavarde6169                         4.36                4.60
Vardas6170     Pavarde6170                         2.92                3.00
Vardas6171     Pavarde6171                         4.00                3.80
Vardas6172     Pavarde6172                         2.80                2.80
Vardas6174     Pavarde6174                         2.88                2.60
Vardas6175     Pavarde6175                         2.88                2.60
Vardas6176     Pavarde6176                         2.84                2.80
Vardas6177     Pavarde6177                         4.12                4.20
Vardas6178     Pavarde6178                         3.12                3.20
Vardas6180     Pavarde6180                         3.24                3.20
Vardas6181     Pavarde6181                         3.04                2.80
Vardas6184     Pavarde6184                         3.52                2.80
Vardas6185     Pavarde6185                         4.48                4.80
Vardas6188     Pavarde6188                         3.32                3.40
Vardas6189     Pavarde6189                         4.32                4.40
Vardas6193     Pavarde6193                         3.48                3.40
Vardas6195     Pavarde6195                         4.24                4.40
Vardas6201     Pavarde6201                         4.84                4.60
Vardas6202     Pavarde6202                         4.32                4.80
Vardas6204     Pavarde6204                         4.84                4.40
Vardas6205     Pavarde6205                         3.36                3.20
Vardas6206     Pavarde6206                         4.48                5.00
Vardas6209     Pavarde6209                         4.40                4.60
Vardas6214     Pavarde6214                         4.56                5.00
Vardas6215     Pavarde6215                         3.84                3.20
Vardas6217     Pavarde6217                         2.72                2.60
Vardas6220     Pavarde6220                         2.36                2.00
Vardas6221     Pavarde6221                         4.48                4.40
Vardas6222     Pavarde6222                         4.24                4.40
Vardas6226     Pavarde6226                         4.52                4.60
Vardas6228     Pavarde6228                         4.68                5.00
Vardas6230     Pavarde6230                         3.32                3.40
Vardas6234     Pavarde6234                         4.20                4.00
Vardas6235     Pavarde6235                         4.96                5.20
Vardas6237     Pavarde6237                         2.52                2.20
Vardas6238     Pavarde6238                         3.84                3.80
Vardas6239     Pavarde6239                         4.92                4.80
Vardas6240     Pavarde6240                         2.80                2.80
Vardas6244     Pavarde6244                         4.32                4.60
Vardas6248     Pavarde6248                         4.60                4.80
Vardas6250     Pavarde6250                         4.20                4.00
Vardas6256     Pavarde6256                         4.92                4.80
Vardas6259     Pavarde6259                         3.64                3.40
Vardas6260     Pavarde6260                         4.72                4.40
Vardas6263     Pavarde6263                         3.48                3.20
Vardas6265     Pavarde6265                         3.48                3.60
Vardas6271     Pavarde6271                         2.72                2.40
Vardas6272     Pavarde6272                         2.48                2.00
Vardas6273     Pavarde6273                         2.80                2.80
Vardas6275     Pavarde6275                         4.36                4.20
Vardas6279     Pavarde6279                         2.76                3.00
Vardas6280     Pavarde6280                         2.40                2.40
Vardas6281     Pavarde6281                         3.20                3.00
Vardas6282     Pavarde6282                         3.88                4.00
Vardas6283     Pavarde6283                         3.76                4.00
Vardas6286     Pavarde6286                         3.80                4.00
Vardas6289     Pavarde6289                         4.12                4.00
Vardas6290     Pavarde6290                         3.72                3.60
Vardas6291     Pavarde6291                         2.60                2.60
Vardas6292     Pavarde6292                         4.12                4.60
Vardas6294     Pavarde6294                         3.00                3.00
Vardas6301     Pavarde6301                         3.40                3.60
Vardas6302     Pavarde6302                         2.80                2.80
Vardas6303     Pavarde6303                         2.60                2.40
Vardas6305     Pavarde6305                         2.68                2.40
Vardas6306     Pavarde6306                         3.32                3.60
Vardas6307     Pavarde6307                         3.32                4.00
Vardas6314     Pavarde6314                         3.36                3.00
Vardas6316     Pavarde6316                         3.00                2.80
Vardas6317     Pavarde6317                         4.28                4.20
Vardas6319     Pavarde6319                         4.20                4.20
Vardas6321     Pavarde6321                         2.84                2.80
Vardas6325     Pavarde6325                         3.60                4.00
Vardas6326     Pavarde6326                         3.20                3.00
Vardas6329     Pavarde6329                         4.68                5.00
Vardas6330     Pavarde6330                         4.76                4.80
Vardas6335     Pavarde6335                         3.96                4.80
Vardas6338     Pavarde6338                         4.40                4.20
Vardas6340     Pavarde6340                         4.72                5.00
Vardas6343     Pavarde6343                         2.96                3.20
Vardas6345     Pavarde6345                         4.48                4.60
Vardas6347     Pavarde6347                         3.12                3.60
Vardas6351     Pavarde6351                         2.68                2.20
Vardas6357     Pavarde6357                         4.76                4.80
Vardas6359     Pavarde6359                         4.68                5.00
Vardas6360     Pavarde6360                         3.32                3.40
Vardas6361     Pavarde6361                         2.24                1.40
Vardas6362     Pavarde6362                         3.68                3.40
Vardas6365     Pavarde6365                         4.12                4.20
Vardas6366     Pavarde6366                         3.72                3.60
Vardas6368     Pavarde6368                         3.20                3.00
Vardas6369     Pavarde6369                         3.76                4.00
Vardas6370     Pavarde6370                         3.80                4.00
Vardas6371     Pavarde6371                         4.40                4.40
Vardas6373     Pavarde6373                         3.56                3.60
Vardas6375     Pavarde6375                         2.64                3.00
Vardas6376     Pavarde6376                         4.24                4.40
Vardas6380     Pavarde6380                         4.40                4.00
Vardas6386     Pavarde6386                         3.88                3.80
Vardas6388     Pavarde6388                         3.32                3.00
Vardas6389     Pavarde6389                         4.64                4.80
Vardas6396     Pavarde6396                         4.60                4.60
Vardas6397     Pavarde6397                         3.64                3.00
Vardas6399     Pavarde6399                         2.84                3.40
Vardas6400     Pavarde6400                         3.76                4.00
Vardas6403     Pavarde6403                         3.48                3.40
Vardas6418     Pavarde6418                         4.00                4.40
Vardas6419     Pavarde6419                         4.40                4.40
Vardas6420     Pavarde6420                         2.76                2.40
Vardas6423     Pavarde6423                         4.76                4.60
Vardas6424     Pavarde6424                         3.24                3.40
Vardas6425     Pavarde6425                         2.84                3.20
Vardas6427     Pavarde6427                         2.40                2.20
Vardas6429     Pavarde6429                         4.64                4.60
Vardas6434     Pavarde6434                         2.60                2.80
Vardas6443     Pavarde6443                         4.32                3.80
Vardas6445     Pavarde6445                         4.56                4.40
Vardas6448     Pavarde6448                         3.64                3.60
Vardas6449     Pavarde6449                         3.44                3.40
Vardas6450     Pavarde6450                         2.68                2.60
Vardas6451     Pavarde6451                         4.12                4.20
Vardas6454     Pavarde6454                         4.20                4.40
Vardas6455     Pavarde6455                         3.36                3.00
Vardas6457     Pavarde6457                         2.92                3.40
Vardas6459     Pavarde6459                         3.20                3.40
Vardas6465     Pavarde6465                         4.68                4.20
Vardas6466     Pavarde6466                         2.80                2.40
Vardas6467     Pavarde6467                         4.76                4.80
Vardas6469     Pavarde6469                         4.56                5.00
Vardas6471     Pavarde6471                         3.52                3.60
Vardas6472     Pavarde6472                         3.52                3.60
Vardas6474     Pavarde6474                         3.96                4.20
Vardas6476     Pavarde6476                         4.72                4.80
Vardas6477     Pavarde6477                         3.64                3.60
Vardas6483     Pavarde6483                         4.44                4.60
Vardas6484     Pavarde6484                         3.56                4.00
Vardas6487     Pavarde6487                         2.64                2.80
Vardas6500     Pavarde6500                         3.56                3.20
Vardas6502     Pavarde6502                         3.36                3.40
Vardas6505     Pavarde6505                         4.96                4.80
Vardas6509     Pavarde6509                         2.68                2.60
Vardas6510     Pavarde6510                         2.88                2.80
Vardas6511     Pavarde6511                         4.32                4.60
Vardas6517     Pavarde6517                         2.40                2.40
Vardas6519     Pavarde6519                         3.92                3.60
Vardas6520     Pavarde6520                         2.88                2.60
Vardas6523     Pavarde6523                         3.40                4.00
Vardas6524     Pavarde6524                         4.04                3.80
Vardas6525     Pavarde6525                         2.96                2.80
Vardas6527     Pavarde6527                         3.60                3.60
Vardas6530     Pavarde6530                         2.68                2.80
Vardas6532     Pavarde6532                         3.76                3.80
Vardas6540     Pavarde6540                         3.44                3.60
Vardas6542     Pavarde6542                         3.92                3.80
Vardas6543     Pavarde6543                         2.68                2.80
Vardas6549     Pavarde6549                         1.76                1.60
Vardas6551     Pavarde6551                         4.48                4.20
Vardas6552     Pavarde6552                         4.12                4.40
Vardas6553     Pavarde6553                         4.00                4.20
Vardas6554     Pavarde6554                         2.64                2.40
Vardas6555     Pavarde6555                         4.32                4.20
Vardas6558     Pavarde6558                         3.96                3.80
Vardas6559     Pavarde6559                         3.44                3.80
Vardas6561     Pavarde6561                         3.96                4.00
Vardas6562     Pavarde6562                         2.96                2.60
Vardas6563     Pavarde6563                         3.92                4.00
Vardas6564     Pavarde6564                         4.84                4.80
Vardas6572     Pavarde6572                         2.92                3.20
Vardas6573     Pavarde6573                         4.00                4.20
Vardas6575     Pavarde6575                         2.88                2.80
Vardas6576     Pavarde6576                         4.16                4.20
Vardas6577     Pavarde6577                         3.24                2.60
Vardas6579     Pavarde6579                         2.72                2.60
Vardas6582     Pavarde6582                         4.08                4.40
Vardas6583     Pavarde6583                         3.48                3.40
Vardas6584     Pavarde6584                         2.80                2.80
Vardas6586     Pavarde6586                         3.92                4.00
Vardas6587     Pavarde6587                         3.00                3.20
Vardas6595     Pavarde6595                         4.08                4.20
Vardas6604     Pavarde6604                         3.60                4.60
Vardas6610     Pavarde6610                         2.64                2.60
Vardas6612     Pavarde6612                         3.60                3.40
Vardas6614     Pavarde6614                         3.40                3.20
Vardas6615     Pavarde6615                         2.60                2.80
Vardas6619     Pavarde6619                         3.48                4.00
Vardas6625     Pavarde6625                         3.44                3.20
Vardas6627     Pavarde6627                         3.16                3.40
Vardas6628     Pavarde6628                         2.80                2.60
Vardas6629     Pavarde6629                         4.12                4.20
Vardas6632     Pavarde6632                         2.80                2.80
Vardas6633     Pavarde6633                         4.96                5.20
Vardas6636     Pavarde6636                         2.40                2.40
Vardas6640     Pavarde6640                         3.60                3.20
Vardas6643     Pavarde6643                         4.68                5.20
Vardas6648     Pavarde6648                         3.24                3.20
Vardas6649     Pavarde6649                         3.20                3.20
Vardas6650     Pavarde6650                         3.44                3.60
Vardas6651     Pavarde6651                         4.24                4.00
Vardas6654     Pavarde6654                         3.28                3.80
Vardas6655     Pavarde6655                         3.00                2.80
Vardas6656     Pavarde6656                         2.56                2.40
Vardas6657     Pavarde6657                         3.00                3.00
Vardas6659     Pavarde6659                         3.56                3.40
Vardas6661     Pavarde6661                         3.48                3.80
Vardas6663     Pavarde6663                         4.48                3.80
Vardas6664     Pavarde6664                         3.20                2.80
Vardas6669     Pavarde6669                         4.84                5.00
Vardas6670     Pavarde6670                         4.04                3.40
Vardas6674     Pavarde6674                         3.44                3.60
Vardas6675     Pavarde6675                         4.24                4.80
Vardas6678     Pavarde6678                         2.36                2.00
Vardas6679     Pavarde6679                         3.44                3.40
Vardas6680     Pavarde6680                         3.60                3.60
Vardas6681     Pavarde6681                         4.84                4.80
Vardas6683     Pavarde6683                         2.44                2.20
Vardas6688     Pavarde6688                         3.44                3.20
Vardas6690     Pavarde6690                         3.80                3.60
Vardas6693     Pavarde6693                         3.68                4.00
Vardas6694     Pavarde6694                         4.80                5.00
Vardas6695     Pavarde6695                         4.80                4.80
Vardas6696     Pavarde6696                         3.96                4.40
Vardas6698     Pavarde6698                         2.64                2.60
Vardas6699     Pavarde6699                         3.40                3.80
Vardas6700     Pavarde6700                         3.12                3.20
Vardas6701     Pavarde6701                         4.08                4.40
